Jan-17,"Broadcasting House, Marylebone",13,7,0,7
Jan-17,"Broadley Terrace, Marylebone",18,1,7,8
Jan-17,"Broadwick Street, Soho",18,8,1,9
Jan-17,"Bromley High Street, Bow",24,0,1,1
Jan-17,"Brook Green South, Brook Green",33,3,0,3
Jan-17,"Broomhouse Lane, Parsons Green",29,1,0,1
Jan-17,"Brunswick Square, Bloomsbury",24,8,4,12
Jan-17,"Brushfield Street, Liverpool Street",34,69,13,82
Jan-17,"Bruton Street, Mayfair",21,26,2,28
Jan-17,"Buckingham Gate, Westminster",16,44,11,55
Jan-17,"Bunhill Row, Moorgate",30,36,5,41
Jan-17,"Burdett Road, Mile End",33,1,0,1
Jan-17,"Bury Place, Holborn",21,15,7,22
Jan-17,"Butler Place, Westminster",18,46,24,70
Jan-17,"Buxton Street, Bangla Town",41,5,1,6
Jan-17,"Cadogan Close, Victoria Park",22,2,4,6
Jan-17,"Cadogan Gardens, Sloane Square",15,2,0,2
Jan-17,"Cadogan Gardens, Sloane Square",15,7,1,8
Jan-17,"Cadogan Place, Knightsbridge",34,6,0,6
Jan-17,"Caldwell Street, Stockwell",43,9,17,26
Jan-17,"Calshot Street, King's Cross",24,4,18,22
Jan-17,"Campden Hill Road, Notting Hill",17,0,8,8
Jan-17,"Canton Street, Poplar",23,0,1,1
Jan-17,"Cantrell Road, Bow",24,0,1,1
Jan-17,"Carey Street, Holborn",16,19,6,25
Jan-17,"Carnegie Street, King's Cross",40,6,21,27
Jan-17,"Cartwright Gardens, Bloomsbury",22,3,12,15
Jan-17,"Castalia Square, Cubitt Town",37,1,0,1
Jan-17,"Castlehaven Road, Camden Town",29,3,8,11
Jan-17,"Central House, Whitechapel",18,2,0,2
Jan-17,"Cephas Street, Bethnal Green",24,0,11,11
Jan-17,"Chadwell Street, Angel",18,2,21,23
Jan-17,"Chancery Lane, Holborn",15,17,6,23
Jan-17,"Chapel Place, Marylebone",29,9,1,10
Jan-17,"Charing Cross Hospital, Hammersmith",21,2,1,3
Jan-17,"Charlbert Street, St. John's Wood",16,0,8,8
Jan-17,"Charles II Street, West End",24,20,3,23
Jan-17,"Charlotte Street, Fitzrovia",14,10,2,12
Jan-17,"Charlotte Terrace, Angel",25,3,18,21
Jan-17,"Cheapside, Bank",43,69,47,116
Jan-17,"Chelsea Bridge, Pimlico",15,1,10,11
Jan-17,"Chelsea Green, Chelsea",27,8,1,9
Jan-17,"Chepstow Villas, Notting Hill",26,0,12,12
Jan-17,"Cheshire Street, Bethnal Green",28,0,11,11
Jan-17,"Chesilton Road, Fulham",23,0,2,2
Jan-17,"Chrisp Street Market, Poplar",18,1,0,1
Jan-17,"Christian Street, Whitechapel",34,1,15,16
Jan-17,"Christopher Street, Liverpool Street",32,22,0,22
Jan-17,"City Road, Angel",47,3,9,12
Jan-17,"Clapham Common Northside, Clapham Common",37,1,8,9
Jan-17,"Clapham Road, Lingham Street, Stockwell",30,2,4,6
Jan-17,"Claremont Square, Angel",18,0,39,39
Jan-17,"Clarence Walk, Stockwell",28,3,5,8
Jan-17,"Clarendon Road, Avondale",24,0,2,2
Jan-17,"Clarges Street, West End",16,5,1,6
Jan-17,"Clarkson Street, Bethnal Green",31,0,7,7
Jan-17,"Claverton Street, Pimlico",32,0,13,13
Jan-17,"Cleaver Street, Kennington",16,4,11,15
Jan-17,"Clerkenwell Green, Clerkenwell",21,25,7,32
Jan-17,"Cleveland Gardens, Bayswater",16,0,12,12
Jan-17,"Cleveland Way, Bethnal Green",36,1,6,7
Jan-17,"Clifford Street, Mayfair",27,28,3,31
Jan-17,"Clifton Road, Maida Vale",22,1,14,15
Jan-17,"Clifton Street, Shoreditch",24,15,1,16
Jan-17,"Clinton Road, Mile End",36,2,3,5
Jan-17,"Cloudesley Road, Angel",20,8,36,44
Jan-17,"Colet Gardens, Hammersmith",30,1,0,1
Jan-17,"Collingham Gardens, Earl's Court",14,1,8,9
Jan-17,"Colombo Street, Southwark",15,6,1,7
Jan-17,"Columbia Road, Weavers",24,1,15,16
Jan-17,"Commercial Street, Shoreditch",16,11,0,11
Jan-17,"Concert Hall Approach, South Bank",28,45,32,77
Jan-17,"Concert Hall Approach, South Bank",28,31,20,51
Jan-17,"Coomer Place, West Kensington",27,1,3,4
Jan-17,"Copper Box Arena, QEOP",33,0,0,0
Jan-17,"Coram Street, Camden",29,2,13,15
Jan-17,"Cotton Garden Estate, Kennington",24,0,11,11
Jan-17,"Courland Grove, Wandsworth Road",40,6,10,16
Jan-17,"Crabtree Lane, Fulham",27,1,1,2
Jan-17,"Craven Street, Strand",23,54,19,73
Jan-17,"Crawford Street, Marylebone",18,2,3,5
Jan-17,"Crinan Street, King's Cross",20,2,5,7
Jan-17,"Crisp Road, Hammersmith",46,1,2,3
Jan-17,"Cromer Street, Bloomsbury",28,11,18,29
Jan-17,"Crosswall, Tower",34,25,4,29
Jan-17,"Culvert Road, Battersea",27,0,5,5
Jan-17,"Curlew Street, Shad Thames",21,1,2,3
Jan-17,"Curzon Street, Mayfair",16,12,1,13
Jan-17,"Danvers Street, West Chelsea",21,5,1,6
Jan-17,"De Vere Gardens, Kensington",29,1,15,16
Jan-17,"Denyer Street, Knightsbridge",30,4,0,4
Jan-17,"Derry Street, Kensington",18,9,0,9
Jan-17,"Devons Road, Bow",39,0,2,2
Jan-17,"Devonshire Square, Liverpool Street",16,17,1,18
Jan-17,"Devonshire Terrace, Bayswater",15,3,16,19
Jan-17,"Dickens Square, The Borough",32,3,4,7
Jan-17,"Disraeli Road, Putney",33,1,2,3
Jan-17,"Do not use, Not to be used",Not to be used,72,0,72
Jan-17,"Do not use, Not to be used",Not to be used,26,3,29
Jan-17,"Dock Street, Wapping",30,6,1,7
Jan-17,"Doddington Grove, Kennington",36,4,8,12
Jan-17,"Doric Way, Somers Town",31,36,36,72
Jan-17,"Dorothy Road, Clapham Junction",28,0,4,4
Jan-17,"Dorset Square, Marylebone",16,14,12,26
Jan-17,"Drayton Gardens, Chelsea",18,5,1,6
Jan-17,"Driffield Road, Old Ford",19,2,6,8
Jan-17,"Drummond Street, Euston",28,38,59,97
Jan-17,"Drury Lane, Covent Garden",27,32,18,50
Jan-17,"Duke Street Hill, London Bridge",21,9,5,14
Jan-17,"Dunston Road, Haggerston",43,1,11,12
Jan-17,"Durant Street, Bethnal Green",24,2,16,18
Jan-17,"Eagle Wharf Road, Hoxton",45,1,47,48
Jan-17,"Earnshaw Street, Covent Garden",18,11,3,14
Jan-17,"East Ferry Road, Cubitt Town",17,0,0,0
Jan-17,"East India DLR, Blackwall",51,2,4,6
Jan-17,"East Road, Hoxton",27,3,5,8
Jan-17,"East Village, QEOP",34,0,3,3
Jan-17,"Eastbourne Mews, Paddington",34,4,16,20
Jan-17,"Eaton Square (South), Belgravia",31,6,0,6
Jan-17,"Eaton Square, Belgravia",20,6,2,8
Jan-17,"Ebury Bridge, Pimlico",29,7,8,15
Jan-17,"Eccleston Place, Victoria",19,8,10,18
Jan-17,"Edgware Road Station, Paddington",64,5,15,20
Jan-17,"Eel Brook Common, Walham Green",24,1,7,8
Jan-17,"Elizabeth Bridge, Victoria",34,8,1,9
Jan-17,"Elysium Place, Fulham",21,0,4,4
Jan-17,"Embankment (Savoy), Strand",42,18,5,23
Jan-17,"Emperor's Gate, South Kensington",22,3,6,9
Jan-17,"Empire Square, The Borough",46,4,1,5
Jan-17,"Endsleigh Gardens, Euston",32,47,45,92
Jan-17,"Erin Close, Walham Green",24,3,1,4
Jan-17,"Esmond Street, Putney",30,3,1,4
Jan-17,"Ethelburga Estate, Battersea Park",30,3,3,6
Jan-17,"Euston Road, Euston",24,17,13,30
Jan-17,"Everington Street, Fulham",31,1,4,5
Jan-17,"Eversholt Street, Camden Town",16,3,13,16
Jan-17,"Evesham Street, Avondale",29,1,0,1
Jan-17,"Exhibition Road Museums, South Kensington",22,16,8,24
Jan-17,"Exhibition Road, Knightsbridge",20,67,23,90
Jan-17,"Falcon Road, Clapham Junction",28,2,0,2
Jan-17,"Falkirk Street, Hoxton",26,0,3,3
Jan-17,"Fanshaw Street, Hoxton",34,1,10,11
Jan-17,"Farm Street, Mayfair",15,10,3,13
