Monthly Redistribution Visits by Docking Station,,,,,
January 2017 - July 2017,,,,,
,,,,,
Month,Docking Station,Docking Points,Collection Visits,Distribution Visits,"Total Visits"
Month,Docking Station,Docking Points Constructed,Collection Visits,Distribution Vistis,Total Visits
Feb-17,"Lindfield Street, Poplar",43,1,1,2
Feb-17,"Lisson Grove, St. John's Wood",18,0,13,13
Feb-17,"Little Argyll Street, West End",21,25,7,32
Feb-17,"Little Brook Green, Brook Green",33,6,0,6
Feb-17,"Liverpool Road (N1 Centre), Angel",24,2,23,25
Feb-17,"LMU Commercial Road, Whitechapel",14,2,17,19
Feb-17,"Lodge Road, St. John's Wood",18,1,2,3
Feb-17,"Lollard Street, Vauxhall",25,5,27,32
Feb-17,"London Aquatics Centre, QEOP",64,2,2,4
Feb-17,"London Zoo Car Park, Regent's Park",36,2,7,9
Feb-17,"London Zoo, Regent's Park",32,0,1,1
Feb-17,"Long Lane, Bermondsey",20,2,7,9
Feb-17,"Longford Street, Regent's Park",21,1,11,12
Feb-17,"Lord's, St. John's Wood",24,3,6,9
Feb-17,"Lots Road, West Chelsea",24,0,3,3
Feb-17,"Lower Marsh, Waterloo",17,10,1,11
Feb-17,"Lower Thames Street, Monument",24,5,0,5
Feb-17,"LSBU (Borough Road), Elephant & Castle",35,2,3,5
Feb-17,"Macclesfield Road, St. Luke's",28,2,19,21
Feb-17,"Maclise Road, Olympia",26,0,2,2
Feb-17,"Malet Street, Bloomsbury",40,29,13,42
Feb-17,"Mallory Street, Marylebone",20,1,6,7
Feb-17,"Malmesbury Road, Bow",21,1,5,6
Feb-17,"Manbre Road, Hammersmith",28,1,2,3
Feb-17,"Manfred Road, East Putney",29,0,4,4
Feb-17,"Manresa Road, Chelsea",18,12,1,13
Feb-17,"Margery Street, Clerkenwell",19,3,9,12
Feb-17,"Marloes Road, Kensington",14,0,3,3
Feb-17,"Marylebone Lane, Marylebone",24,10,1,11
Feb-17,"Melton Street, Euston",27,4,3,7
Feb-17,"Merchant Street, Bow",27,0,2,2
Feb-17,"Mexfield Road, East Putney",18,0,5,5
Feb-17,"Michael Road, Walham Green",37,0,4,4
Feb-17,"Mile End Park Leisure Centre, Mile End",47,1,4,5
Feb-17,"Mile End Stadium, Mile End",22,1,0,1
Feb-17,"Millbank Tower, Pimlico",24,28,15,43
Feb-17,"Millennium Hotel, Mayfair",27,12,5,17
Feb-17,"Millharbour, Millwall",19,2,0,2
Feb-17,"Milroy Walk, South Bank",30,4,8,12
Feb-17,"Monier Road, QEOP",27,0,2,2
Feb-17,"Montgomery Square, Canary Wharf",39,2,1,3
Feb-17,"Montpelier Street, Knightsbridge",16,14,2,16
Feb-17,"Montserrat Road, Putney",23,4,0,4
Feb-17,"Monument Street, Monument",22,14,1,15
Feb-17,"Moor Street, Soho",16,31,2,33
Feb-17,"Moorfields, Moorgate",54,39,8,47
Feb-17,"Morie Street, Wandsworth",28,0,2,2
Feb-17,"Mostyn Grove, Bow",46,0,9,9
Feb-17,"Mudchute DLR, Cubitt Town",31,1,0,1
Feb-17,"Murray Grove, Hoxton",27,2,13,15
Feb-17,"Museum of London, Barbican",52,0,0,0
Feb-17,"Nantes Close, Wandsworth",22,0,2,2
Feb-17,"Napier Avenue, Millwall",20,1,0,1
Feb-17,"Natural History Museum, South Kensington",42,5,5,10
Feb-17,"Naval Row, Blackwall",21,0,0,0
Feb-17,"Nesham Street, Wapping",16,6,3,9
Feb-17,"Nevern Place, Earl's Court",20,0,6,6
Feb-17,"Neville Gill Close, Wandsworth",32,1,0,1
Feb-17,"New Cavendish Street, Marylebone",18,5,0,5
Feb-17,"New Fetter Lane, Holborn",18,37,35,72
Feb-17,"New Globe Walk, Bankside",19,13,21,34
Feb-17,"New Inn Yard, Shoreditch",20,8,1,9
Feb-17,"New Kent Road, The Borough",33,1,7,8
Feb-17,"New North Road, Hoxton",44,1,9,10
Feb-17,"New North Road, Hoxton",44,0,9,9
Feb-17,"New Road, Whitechapel",73,0,1,1
Feb-17,"New Spring Gardens Walk, Vauxhall",40,14,1,15
Feb-17,"Newby Place, Poplar",18,2,0,2
Feb-17,"Newgate Street, St. Paul's",34,123,66,189
Feb-17,"Newton Street, Covent Garden",24,36,13,49
Feb-17,"Normand Park, Fulham",24,0,2,2
Feb-17,"North Audley Street, Mayfair",17,18,2,20
Feb-17,"North Wharf Road, Paddington",25,3,2,5
Feb-17,"Northdown Street, King's Cross",21,4,9,13
Feb-17,"Northfields, Wandsworth",28,0,3,3
Feb-17,"Northington Street, Holborn",19,25,16,41
Feb-17,"Northumberland Avenue, Strand",37,27,4,31
Feb-17,"Norton Folgate, Liverpool Street",23,20,4,24
Feb-17,"Notting Hill Gate Station, Notting Hill",31,5,30,35
Feb-17,"Nutford Place, Marylebone",18,2,3,5
Feb-17,"Old Brompton Road, South Kensington",31,0,5,5
Feb-17,"Old Ford Road, Bethnal Green",24,0,8,8
Feb-17,"Old Montague Street, Whitechapel",18,2,16,18
Feb-17,"Old Quebec Street, Marylebone",16,8,1,9
Feb-17,"Old Street Station, St. Luke's",37,13,3,16
Feb-17,"Olympia Way, Olympia",38,0,6,6
Feb-17,"One Tower Bridge, Bermondsey",13,0,0,0
Feb-17,"Ontario Street, Elephant & Castle",15,6,2,8
Feb-17,"Orbel Street, Battersea",26,0,8,8
Feb-17,"Ormonde Gate, Chelsea",24,4,0,4
Feb-17,"Orsett Terrace, Bayswater",15,0,13,13
Feb-17,"Osiers Road, Wandsworth",30,0,1,1
Feb-17,"Ossulston Street, Somers Town",30,10,10,20
Feb-17,"Oval Way, Vauxhall",21,8,2,10
Feb-17,"Oxford Road, Putney",29,0,0,0
Feb-17,"Paddington Green Police Station, Paddington",39,2,6,8
Feb-17,"Paddington Green, Paddington",20,1,10,11
Feb-17,"Paddington Street, Marylebone",16,3,3,6
Feb-17,"Page Street, Westminster",24,43,16,59
Feb-17,"Palace Gardens Terrace, Notting Hill",37,1,13,14
Feb-17,"Palace Gate, Kensington Gardens",16,3,1,4
Feb-17,"Palissy Street, Shoreditch",26,3,10,13
Feb-17,"Pall Mall East, West End",22,35,1,36
Feb-17,"Pancras Road, King's Cross",16,7,4,11
Feb-17,"Panton Street, West End",21,20,0,20
Feb-17,"Park Lane, Hyde Park",28,12,8,20
Feb-17,"Park Lane, Mayfair",18,3,7,10
Feb-17,"Park Road (Baker Street), Regent's Park",22,3,1,4
Feb-17,"Park Street, Bankside",18,9,4,13
Feb-17,"Parkway, Camden Town",33,5,3,8
Feb-17,"Parsons Green Station, Parsons Green",56,0,5,5
Feb-17,"Parson's Green, Parson's Green",21,0,3,3
Feb-17,"Pembridge Villas, Notting Hill",16,0,6,6
Feb-17,"Penfold Street, Marylebone",15,0,10,10
Feb-17,"Pennington Street, Wapping",45,0,10,10
Feb-17,"Penywern Road, Earl's Court",17,0,6,6
Feb-17,"Percival Street, Finsbury",22,3,12,15
Feb-17,"Peterborough Road, Sands End",30,0,4,4
Feb-17,"Phene Street, Chelsea",23,1,3,4
Feb-17,"Phillimore Gardens, Kensington",37,5,0,5
Feb-17,"Philpot Street, Whitechapel",30,1,7,8
Feb-17,"Pitfield Street (North), Hoxton",28,4,22,26
Feb-17,"Pitfield Street Central, Hoxton",22,2,14,16
Feb-17,"Plough Terrace, Clapham Junction",31,0,4,4
Feb-17,"Podium, QEOP",40,1,3,4
Feb-17,"Pont Street, Knightsbridge",24,8,0,8
Feb-17,"Porchester Place, Paddington",18,1,15,16
Feb-17,"Portland Place, Marylebone",34,3,0,3
Feb-17,"Portman Square, Marylebone",17,9,1,10
Feb-17,"Portugal Street, Holborn",16,12,16,28
Feb-17,"Pott Street, Bethnal Green",20,1,6,7
Feb-17,"Poured Lines, Bankside",31,9,5,14
Feb-17,"Preston's Road, Cubitt Town",26,2,0,2
Feb-17,"Prince Albert Road, Regent's Park",24,0,15,15
Feb-17,"Prince Consort Road, Knightsbridge",18,46,26,72
Feb-17,"Prince of Wales Drive, Battersea Park",21,3,7,10
Feb-17,"Princedale Road, Holland Park",25,1,8,9
Feb-17,"Princes Square, Bayswater",16,1,9,10
Feb-17,"Pritchard's Road, Bethnal Green",30,3,7,10
Feb-17,"Putney Bridge Road, East Putney",29,0,3,3
Feb-17,"Putney Bridge Station, Fulham",21,1,0,1
Feb-17,"Putney Pier, Wandsworth",29,5,0,5
Feb-17,"Putney Rail Station, Putney",20,0,0,0
Feb-17,"Queen Mary's, Mile End",45,4,0,4
Feb-17,"Queen Mother Sports Centre, Victoria",26,10,2,12
Feb-17,"Queen Street, Bank",56,37,12,49
Feb-17,"Queen Street, Bank",56,17,5,22
Feb-17,"Queen Victoria Street, St. Paul's",32,43,20,63
Feb-17,"Queen's Circus, Battersea Park",28,3,8,11
Feb-17,"Queen's Gate (Central), South Kensington",31,3,2,5
Feb-17,"Queen's Gate (North), Kensington",19,7,5,12
Feb-17,"Queen's Gate (South), South Kensington",25,7,1,8
Feb-17,"Queen's Gate, Kensington Gardens",21,1,0,1
Feb-17,"Queensbridge Road, Haggerston",35,0,8,8
Feb-17,"Queensdale Road, Shepherd's Bush",31,0,0,0
Feb-17,"Rainville Road, Hammersmith",36,0,0,0
Feb-17,"Ram Street, Wandsworth",25,1,0,1
Feb-17,"Rampayne Street, Pimlico",21,3,5,8
Feb-17,"Ranelagh Gardens, Fulham",39,0,2,2
Feb-17,"Rathbone Street, Fitzrovia",15,9,3,12
Feb-17,"Ravenscourt Park Station, Hammersmith",26,4,0,4
Feb-17,"Reardon Street, Wapping",22,4,7,11
Feb-17,"Rectory Square, Stepney",22,0,7,7
Feb-17,"Red Lion Square, Holborn",16,24,27,51
Feb-17,"Red Lion Street, Holborn",36,45,46,91
Feb-17,"Regency Street, Westminster",22,1,5,6
Feb-17,"Regent's Row, Haggerston",24,9,17,26
Feb-17,"Richmond Way, Shepherd's Bush",27,0,2,2
Feb-17,"Rifle Place, Avondale",21,4,0,4
Feb-17,"Risinghill Street, Angel",25,0,30,30
Feb-17,"River Street, Clerkenwell",19,1,24,25
Feb-17,"Riverlight North, Nine Elms",24,1,5,6
Feb-17,"Riverlight South, Nine Elms",26,1,4,5
Feb-17,"Rochester Row, Westminster",13,19,4,23
Feb-17,"Rodney Road, Walworth",24,3,20,23
Feb-17,"Roscoe Street, St. Luke's",18,9,2,11
Feb-17,"Rossmore Road, Marylebone",18,1,5,6
Feb-17,"Royal Avenue, Chelsea",20,12,2,14
Feb-17,"Royal Avenue, Chelsea",20,7,0,7
Feb-17,"Royal College Street, Camden Town",57,1,14,15
Feb-17,"Royal London Hospital, Whitechapel",41,2,2,4
Feb-17,"Russell Gardens, Holland Park",24,0,2,2
Feb-17,"Russell Square Station, Bloomsbury",26,18,3,21
Feb-17,"Sackville Street, Mayfair",18,18,4,22
Feb-17,"Sadlers Sports Centre, Finsbury",17,7,6,13
Feb-17,"Sail Street, Vauxhall",24,3,8,11
Feb-17,"Salmon Lane, Limehouse",33,0,2,2
Feb-17,"Sancroft Street, Vauxhall",24,3,13,16
Feb-17,"Sandilands Road, Walham Green",21,0,2,2
Feb-17,"Santos Road, Wandsworth",30,0,4,4
Feb-17,"Sardinia Street, Holborn",24,27,13,40
Feb-17,"Saunders Ness Road, Cubitt Town",35,1,0,1
Feb-17,"Scala Street, Fitzrovia",21,10,2,12
Feb-17,"Sedding Street, Sloane Square",27,14,2,16
Feb-17,"Selby Street, Whitechapel",17,0,8,8
Feb-17,"Serpentine Car Park, Hyde Park",16,2,3,5
Feb-17,"Seville Street, Knightsbridge",27,6,0,6
Feb-17,"Seymour Place, Marylebone",33,1,4,5
Feb-17,"Shadwell Station, Shadwell",35,2,11,13
Feb-17,"Sheepcote Lane, Battersea",28,1,3,4
Feb-17,"Shepherd's Bush Road North, Shepherd's Bush",34,1,1,2
Feb-17,"Shoreditch Court, Haggerston",39,0,17,17
Feb-17,"Shoreditch High Street, Shoreditch",40,5,10,15
Feb-17,"Shoreditch Park, Hoxton",30,3,26,29
Feb-17,"Shouldham Street, Marylebone",16,1,10,11
Feb-17,"Silverthorne Road, Battersea",28,1,5,6
Feb-17,"Simpson Street, Battersea",25,2,1,3
Feb-17,"Sirdar Road, Avondale",26,2,0,2
Feb-17,"Sloane Avenue, Knightsbridge",30,7,2,9
Feb-17,"Smith Square, Westminster",18,41,26,67
Feb-17,"Smugglers Way, Wandsworth",28,0,2,2
Feb-17,"Snow Hill, Farringdon",15,29,25,54
Feb-17,"Snowsfields, London Bridge",31,7,7,14
Feb-17,"Soho Square, Soho",55,30,3,33
Feb-17,"Somerset House, Strand",41,13,1,14
Feb-17,"Sopwith Way, Wandsworth",30,1,2,3
Feb-17,"South Audley Street, Mayfair",15,13,1,14
Feb-17,"South Kensington Station, South Kensington",15,14,4,18
Feb-17,"South Lambeth Road, Vauxhall",21,0,1,1
Feb-17,"South Parade, Chelsea",18,0,1,1
Feb-17,"South Park, Sands End",28,0,2,2
Feb-17,"South Quay East, Canary Wharf",36,2,2,4
Feb-17,"South Wharf Road, Paddington",16,27,30,57
Feb-17,"Southampton Place, Holborn",20,12,4,16
Feb-17,"Southampton Street, Strand",14,36,7,43
Feb-17,"Southern Grove, Bow",17,0,6,6
Feb-17,"Southerton Road, Hammersmith",38,5,0,5
Feb-17,"Southwark Station, Southwark",82,3,9,12
Feb-17,"Southwark Station, Southwark",82,9,0,9
Feb-17,"Southwark Street, Bankside",23,6,0,6
Feb-17,"Southwick Street, Paddington",17,6,20,26
Feb-17,"Spanish Road, Wandsworth",30,0,2,2
Feb-17,"Spencer Park, Wandsworth Common",25,1,4,5
Feb-17,"Spindrift Avenue, Millwall",36,2,0,2
Feb-17,"St John's Park, Cubitt Town",30,0,0,0
Feb-17,"St Katharine’s Way, Tower",24,2,4,6
Feb-17,"St Martin's Close, Camden Town",18,5,6,11
Feb-17,"St. Bride Street, Holborn",24,42,23,65
Feb-17,"St. Chad's Street, King's Cross",23,33,14,47
Feb-17,"St. George Street, Mayfair",18,19,3,22
Feb-17,"St. George's Square, Pimlico",16,4,16,20
Feb-17,"St. James's Square, St. James's",40,59,11,70
Feb-17,"St. John Street, Finsbury",18,3,16,19
Feb-17,"St. John's Road, Clapham Junction",33,1,1,2
Feb-17,"St. John's Wood Church, Regent's Park",50,0,11,11
Feb-17,"St. John's Wood Road, St. John's Wood",35,0,18,18
Feb-17,"St. Luke's Church, Chelsea",20,6,3,9
Feb-17,"St. Mark's Road, North Kensington",23,0,3,3
Feb-17,"St. Martin's Street, West End",18,23,2,25
Feb-17,"St. Mary and St. Michael Church, Stepney",25,0,2,2
Feb-17,"St. Mary Axe, Aldgate",21,11,6,17
Feb-17,"St. Peter’s Terrace, Fulham",24,0,2,2
Feb-17,"Stainsby Road, Poplar",24,0,3,3
Feb-17,"Stamford Street, South Bank",27,35,21,56
Feb-17,"Stanhope Gate, Mayfair",21,6,3,9
Feb-17,"Stanley Grove, Battersea",24,0,3,3
Feb-17,"Star Road, West Kensington",24,0,2,2
Feb-17,"Stebondale Street, Cubitt Town",29,3,0,3
Feb-17,"Stephendale Road, Sands End",48,0,2,2
Feb-17,"Stepney Green Station, Stepney",18,2,2,4
Feb-17,"Stewart's Road, Nine Elms",28,0,3,3
Feb-17,"Stockwell Roundabout, Stockwell",33,1,3,4
Feb-17,"Stonecutter Street, Holborn",46,11,1,12
Feb-17,"Storey's Gate, Westminster",18,60,17,77
Feb-17,"Strand, Strand",36,22,4,26
Feb-17,"Strata, Elephant & Castle",21,1,2,3
Feb-17,"Stratford Station, QEOP",34,1,2,3
Feb-17,"Sugden Road, Battersea",19,0,8,8
Feb-17,"Sumner Place, South Kensington",19,1,0,1
Feb-17,"Sun Street, Liverpool Street",25,55,6,61
Feb-17,"Surrey Lane, Battersea",28,1,8,9
Feb-17,"Sutton Street, Shadwell",33,0,12,12
Feb-17,"Swan Street, The Borough",27,2,0,2
Feb-17,"Tachbrook Street, Victoria",16,10,4,14
Feb-17,"Tallis Street, Temple",24,34,18,52
Feb-17,"Tanner Street, Bermondsey",19,2,4,6
Feb-17,"Tate Modern, Bankside",30,14,9,23
Feb-17,"Tavistock Place, Bloomsbury",19,2,18,20
Feb-17,"Tavistock Street, Covent Garden",33,50,3,53
Feb-17,"Taviton Street, Bloomsbury",30,10,5,15
Feb-17,"Teversham Lane, Stockwell",39,0,2,2
Feb-17,"Teviot Street, Poplar",33,2,0,2
Feb-17,"The Green Bridge, Mile End",63,1,10,11
Feb-17,"The Guildhall, Guildhall",17,33,22,55
Feb-17,"The Tennis Courts, Regent's Park",16,2,2,4
Feb-17,"The Vale, West Chelsea",24,10,1,11
Feb-17,"Theobald's Road, Holborn",26,41,31,72
Feb-17,"Thessaly Road North, Nine Elms",28,0,7,7
Feb-17,"Thorndike Close, West Chelsea",25,0,2,2
Feb-17,"Thornfield House, Poplar",26,1,0,1
Feb-17,"Thurtle Road, Haggerston",22,0,11,11
Feb-17,"Timber Lodge, QEOP",35,1,2,3
Feb-17,"Tooley Street, Bermondsey",17,42,0,42
Feb-17,"Torrens Street, Angel",19,1,10,11
Feb-17,"Tower Gardens, Tower",24,24,4,28
Feb-17,"Trebovir Road, Earl's Court",18,2,2,4
Feb-17,"Triangle Car Park, Hyde Park",27,1,7,8
Feb-17,"Turquoise Island, Notting Hill",21,0,3,3
Feb-17,"Twig Folly Bridge, Mile End",21,1,13,14
Feb-17,"Tyers Gate, Bermondsey",36,1,8,9
Feb-17,"Tysoe Street, Clerkenwell",20,12,9,21
Feb-17,"Union Grove, Wandsworth Road",45,2,6,8
Feb-17,"Union Street, The Borough",17,0,6,6
Feb-17,"Upcerne Road, West Chelsea",29,1,3,4
Feb-17,"Upper Bank Street, Canary Wharf",36,4,0,4
Feb-17,"Upper Grosvenor Street, Mayfair",18,3,4,7
Feb-17,"Upper Richmond Road, East Putney",25,0,2,2
Feb-17,"Usk Road, Battersea",30,0,4,4
Feb-17,"Vauxhall Bridge, Pimlico",35,0,4,4
Feb-17,"Vauxhall Cross, Vauxhall",17,1,0,1
Feb-17,"Vauxhall Street, Vauxhall",19,8,2,10
Feb-17,"Vauxhall Walk, Vauxhall",27,7,3,10
Feb-17,"Vereker Road, West Kensington",32,0,7,7
Feb-17,"Vicarage Crescent, Battersea",30,1,10,11
Feb-17,"Vicarage Gate, Kensington",18,0,14,14
Feb-17,"Victoria and Albert Museum, Cromwell Road",36,17,0,17
Feb-17,"Victoria Park Road, Hackney Central",34,1,9,10
Feb-17,"Victory Place, Walworth",24,10,26,36
Feb-17,"Vincent Square, Westminster",19,4,4,8
Feb-17,"Vincent Street, Pimlico",16,1,8,9
Feb-17,"Walmer Road, Notting Hill",24,0,0,0
Feb-17,"Walnut Tree Walk, Vauxhall",20,4,27,31
Feb-17,"Walworth Road, Elephant & Castle",30,0,0,0
Feb-17,"Wandsworth Rd, Isley Court, Wandsworth Road",30,0,16,16
Feb-17,"Wandsworth Town Station, Wandsworth",33,0,3,3
Feb-17,"Wapping High Street, Wapping",20,2,5,7
Feb-17,"Wapping Lane, Wapping",28,2,2,4
Feb-17,"Wardour Street, Soho",16,14,1,15
Feb-17,"Warren Street Station, Fitzrovia",26,12,11,23
Feb-17,"Warwick Avenue Station, Maida Vale",19,1,11,12
Feb-17,"Warwick Road, Olympia",36,0,6,6
Feb-17,"Warwick Square, Pimlico",19,3,19,22
Feb-17,"Waterloo Bridge, South Bank",15,34,19,53
Feb-17,"Waterloo Place, St. James's",20,16,4,20
Feb-17,"Waterloo Road, Southbank",15,84,48,132
Feb-17,"Waterloo Station, Waterloo",126,103,170,273
Feb-17,"Waterloo Station, Waterloo",126,25,28,53
Feb-17,"Waterloo Station, Waterloo",126,109,145,254
Feb-17,"Watney Market, Stepney",51,2,3,5
Feb-17,"Watney Street, Shadwell",27,0,10,10
Feb-17,"Webber Street, Southwark",24,1,4,5
Feb-17,"Wellington Arch, Hyde Park",36,8,16,24
Feb-17,"Wellington Road, St. John's Wood",17,1,13,14
Feb-17,"Wellington Row, Bethnal Green",33,1,5,6
Feb-17,"Wells Street, Fitzrovia",38,4,5,9
Feb-17,"Wendon Street, Old Ford",18,1,1,2
Feb-17,"Wenlock Road, Hoxton",28,5,27,32
Feb-17,"West Cromwell Road, Earl's Court",24,0,7,7
Feb-17,"West Kensington Station, West Kensington",21,0,5,5
Feb-17,"West Smithfield Rotunda, Farringdon",25,35,30,65
Feb-17,"Westbourne Grove, Bayswater",26,0,10,10
Feb-17,"Westbourne Park Road, Portobello",23,0,4,4
Feb-17,"Westbridge Road, Battersea",28,2,3,5
Feb-17,"Westferry Circus, Canary Wharf",36,5,0,5
Feb-17,"Westferry DLR, Limehouse",41,6,0,6
Feb-17,"Westfield Ariel Way, White City",42,2,1,3
Feb-17,"Westfield Library Corner, Shepherd's Bush",27,2,0,2
Feb-17,"Westfield Southern Terrace, Shepherd's Bush",29,1,0,1
Feb-17,"Westminster Bridge Road, Elephant & Castle",26,1,0,1
Feb-17,"Westminster Bridge Road, Elephant & Castle",26,1,0,1
Feb-17,"Westminster University, Marylebone",16,1,1,2
Feb-17,"Whiston Road, Haggerston",21,2,18,20
Feb-17,"Whitehall Place, Strand",46,36,2,38
Feb-17,"Whiteley's, Bayswater",16,2,2,4
Feb-17,"William IV Street, Strand",26,63,1,64
Feb-17,"William Morris Way, Sands End",26,0,4,4
Feb-17,"Windsor Terrace, Hoxton",24,2,19,21
Feb-17,"Winsland Street, Paddington",15,42,37,79
Feb-17,"Wood Street, Guildhall",17,30,33,63
Feb-17,"Woodstock Grove, Shepherd's Bush",23,0,1,1
Feb-17,"Woodstock Street, Mayfair",21,12,2,14
Feb-17,"World's End Place, West Chelsea",22,0,2,2
Feb-17,"Wormwood Street, Liverpool Street",16,58,5,63
Feb-17,"Wren Street, Holborn",33,3,14,17
Feb-17,"Wright's Lane, Kensington",37,6,1,7
Feb-17,"York Hall, Bethnal Green",27,2,3,5
Mar-17,"Abbey Orchard Street, Westminster",29,70,30,100
Mar-17,"Abbotsbury Road, Holland Park",24,0,2,2
Mar-17,"Aberdeen Place, St John's Wood",18,0,13,13
Mar-17,"Aberfeldy Street, Poplar",16,0,0,0
Mar-17,"Abingdon Green, Great College Street",20,51,21,72
Mar-17,"Abingdon Villas, Kensington",17,0,1,1
Mar-17,"Abyssinia Close, Clapham Junction",20,7,1,8
Mar-17,"Ackroyd Drive, Bow",29,0,4,4
Mar-17,"Ada Street, Hackney Central",45,7,2,9
Mar-17,"Addison Road, Holland Park",26,0,1,1
Mar-17,"Aintree Street, Fulham",24,2,5,7
Mar-17,"Albany Street, Regent's Park",27,0,16,16
Mar-17,"Albert Bridge Road, Battersea Park",20,8,10,18
Mar-17,"Albert Embankment, Vauxhall",24,9,13,22
Mar-17,"Albert Gardens, Stepney",33,0,6,6
Mar-17,"Albert Gate, Hyde Park",28,1,0,1
Mar-17,"Albert Square, Stockwell",32,6,8,14
Mar-17,"Alderney Street, Pimlico",14,9,20,29
Mar-17,"Aldersgate Street, Barbican",15,36,13,49
Mar-17,"Alfred Place, Bloomsbury",40,3,3,6
Mar-17,"Alfreda Street, Battersea Park",22,8,4,12
Mar-17,"All Saints Church, Portobello",37,0,4,4
Mar-17,"All Saints' Road, Portobello",22,0,3,3
Mar-17,"Alma Road, Wandsworth",28,0,12,12
Mar-17,"Alpha Grove, Millwall",23,1,1,2
Mar-17,"Ampton Street, Clerkenwell",21,2,19,21
Mar-17,"Ansell House, Stepney",43,0,14,14
Mar-17,"Antill Road, Mile End",30,0,11,11
Mar-17,"Appold Street, Liverpool Street",26,37,1,38
Mar-17,"Archbishop's Park, Waterloo",23,9,5,14
Mar-17,"Argyll Road, Kensington",19,2,4,6
Mar-17,"Arlington Road, Camden Town",24,2,3,5
Mar-17,"Ashley Crescent, Battersea",28,1,10,11
Mar-17,"Ashley Place, Victoria",25,19,5,24
Mar-17,"Ashmole Estate, Oval",34,3,14,17
Mar-17,"Aston Street, Stepney",26,0,7,7
Mar-17,"Austin Road, Battersea",18,1,7,8
Mar-17,"Aylward Street, Stepney",22,0,8,8
Mar-17,"Baker Street, Marylebone",22,0,9,9
Mar-17,"Baldwin Street, St. Luke's",21,1,7,8
Mar-17,"Bancroft Road, Bethnal Green",21,3,14,17
Mar-17,"Bank of England Museum, Bank",16,39,22,61
Mar-17,"Bankside Mix, Bankside",60,29,8,37
Mar-17,"Barbican Centre, Barbican",19,26,3,29
Mar-17,"Barons Court Station, West Kensington",32,1,9,10
Mar-17,"Bath Street, St. Luke's",18,12,8,20
Mar-17,"Battersea Church Road, Battersea",25,2,4,6
Mar-17,"Battersea Park Road, Nine Elms",27,3,14,17
Mar-17,"Battersea Power Station, Battersea Park",27,0,8,8
Mar-17,"Bayley Street, Bloomsbury",25,18,2,20
Mar-17,"Baylis Road, Waterloo",18,62,41,103
Mar-17,"Bayswater Road, Hyde Park",26,0,0,0
Mar-17,"BBC White City, White City",36,1,0,1
Mar-17,"Beaumont Street, Marylebone",23,1,1,2
Mar-17,"Bedford Way, Bloomsbury",23,6,6,12
Mar-17,"Belford House, Haggerston",35,1,7,8
Mar-17,"Belgrave Road, Victoria",29,9,13,22
Mar-17,"Belgrave Square, Belgravia",21,0,4,4
Mar-17,"Belgrove Street, King's Cross",21,30,25,55
Mar-17,"Bell Lane, Liverpool Street",23,12,5,17
Mar-17,"Bell Street, Marylebone",18,7,9,16
Mar-17,"Belvedere Road, South Bank",76,19,21,40
Mar-17,"Belvedere Road, South Bank",76,53,30,83
Mar-17,"Belvedere Road, South Bank",76,19,21,40
Mar-17,"Belvedere Road, South Bank",76,53,30,83
Mar-17,"Bermondsey Street, Bermondsey",24,4,18,22
Mar-17,"Berry Street, Clerkenwell",41,50,21,71
Mar-17,"Beryl Road, Hammersmith",26,1,3,4
Mar-17,"Bethnal Green Garden, Bethnal Green",23,0,5,5
Mar-17,"Bethnal Green Road, Shoreditch",38,20,8,28
Mar-17,"Bevington Road West, North Kensington",24,0,0,0
Mar-17,"Bevington Road, North Kensington",27,0,4,4
Mar-17,"Binfield Road, Stockwell",35,10,5,15
Mar-17,"Birkenhead Street, King's Cross",27,26,31,57
Mar-17,"Bishop's Avenue, Fulham",44,0,3,3
Mar-17,"Bishop's Bridge Road East, Bayswater",20,0,6,6
Mar-17,"Bishop's Bridge Road West, Bayswater",18,0,8,8
Mar-17,"Black Lion Gate, Kensington Gardens",24,2,15,17
Mar-17,"Black Prince Road, Vauxhall",19,5,6,11
Mar-17,"Blackfriars Road, Southwark",42,5,1,6
Mar-17,"Blenheim Crescent, Ladbroke Grove",22,2,0,2
Mar-17,"Blythe Road West, Shepherd's Bush",21,0,2,2
Mar-17,"Bolsover Street, Fitzrovia",19,0,8,8
Mar-17,"Bonny Street, Camden Town",45,6,12,18
Mar-17,"Borough High Street, The Borough",21,9,4,13
Mar-17,"Borough Road, Elephant & Castle",41,2,1,3
Mar-17,"Boston Place, Marylebone",26,40,34,74
Mar-17,"Bouverie Street, Temple",18,53,22,75
Mar-17,"Bow Church Station, Bow",39,0,4,4
Mar-17,"Bow Road Station, Bow",42,0,9,9
Mar-17,"Bradmead, Nine Elms",40,6,7,13
Mar-17,"Braham Street, Aldgate",34,12,2,14
Mar-17,"Bramham Gardens, Earl's Court",29,2,9,11
Mar-17,"Breams Buildings, Holborn",24,20,12,32
Mar-17,"Brick Lane Market, Bangla Town",23,3,3,6
Mar-17,"Bricklayers Arms, The Borough",28,5,9,14
Mar-17,"Bridge Avenue, Hammersmith",18,3,0,3
Mar-17,"British Museum, Bloomsbury",35,16,14,30
Mar-17,"Broadcasting House, Marylebone",13,14,2,16
Mar-17,"Broadley Terrace, Marylebone",18,0,11,11
Mar-17,"Broadwick Street, Soho",18,12,1,13
Mar-17,"Bromley High Street, Bow",24,0,0,0
