    17	Jan-17,"Vauxhall Cross, Vauxhall",17,0,0,0
    16	Feb-17,"Walworth Road, Elephant & Castle",30,0,0,0
    17	Mar-17,"Walworth Road, Elephant & Castle",30,0,0,0
     9	Apr-17,"Walworth Road, Elephant & Castle",30,0,0,0
    21	May-17,"Westminster University, Marylebone",16,0,0,0
    24	Jun-17,"Walworth Road, Elephant & Castle",30,0,0,0
